locus_key	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus220	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus221	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus222	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus223	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus224	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus225	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus226	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus227	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus228	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus229	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus230	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus231	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus232	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus233	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus234	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus235	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus236	FALSE	FALSE	FALSE
Cholesterol_in_very_large_HDL__locus237	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus238	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus239	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus240	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus241	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus242	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus243	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus244	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus245	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus246	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus247	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus248	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus249	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus250	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus251	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus252	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus253	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus254	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus255	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus256	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus257	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus258	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus259	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus260	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus261	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus262	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus263	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus264	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus265	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus266	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus267	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus268	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus269	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus270	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus271	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus272	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus273	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus274	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus275	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus276	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus277	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus278	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus279	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus280	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus281	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus282	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus283	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus284	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus285	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus286	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus287	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus288	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus289	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus290	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus291	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus292	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus293	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus294	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus295	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus296	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus297	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus298	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus299	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus300	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus301	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus302	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus303	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus304	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus305	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus306	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus307	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus308	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus309	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus310	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus311	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus312	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus313	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus314	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus315	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus316	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus317	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus318	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus319	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus320	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus321	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus322	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus323	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus324	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus325	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus326	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus327	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus328	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus329	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus330	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus331	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus332	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus333	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus334	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus335	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus336	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus337	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus338	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus339	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus340	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus341	TRUE	TRUE	TRUE
