locus_key	trait	locus	outcome	analysis_status	failure_reason
Cholesterol_in_very_large_HDL__locus046	Cholesterol_in_very_large_HDL	locus046	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus046	Cholesterol_in_very_large_HDL	locus046	main	success	none
Cholesterol_in_very_large_HDL__locus046	Cholesterol_in_very_large_HDL	locus046	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus047	Cholesterol_in_very_large_HDL	locus047	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus047	Cholesterol_in_very_large_HDL	locus047	main	success	none
Cholesterol_in_very_large_HDL__locus047	Cholesterol_in_very_large_HDL	locus047	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus048	Cholesterol_in_very_large_HDL	locus048	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus048	Cholesterol_in_very_large_HDL	locus048	main	success	none
Cholesterol_in_very_large_HDL__locus048	Cholesterol_in_very_large_HDL	locus048	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus049	Cholesterol_in_very_large_HDL	locus049	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus049	Cholesterol_in_very_large_HDL	locus049	main	success	none
Cholesterol_in_very_large_HDL__locus049	Cholesterol_in_very_large_HDL	locus049	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus050	Cholesterol_in_very_large_HDL	locus050	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus050	Cholesterol_in_very_large_HDL	locus050	main	success	none
Cholesterol_in_very_large_HDL__locus050	Cholesterol_in_very_large_HDL	locus050	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus051	Cholesterol_in_very_large_HDL	locus051	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus051	Cholesterol_in_very_large_HDL	locus051	main	success	none
Cholesterol_in_very_large_HDL__locus051	Cholesterol_in_very_large_HDL	locus051	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus052	Cholesterol_in_very_large_HDL	locus052	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus052	Cholesterol_in_very_large_HDL	locus052	main	success	none
Cholesterol_in_very_large_HDL__locus052	Cholesterol_in_very_large_HDL	locus052	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus053	Cholesterol_in_very_large_HDL	locus053	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus053	Cholesterol_in_very_large_HDL	locus053	main	success	none
Cholesterol_in_very_large_HDL__locus053	Cholesterol_in_very_large_HDL	locus053	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus054	Cholesterol_in_very_large_HDL	locus054	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus054	Cholesterol_in_very_large_HDL	locus054	main	success	none
Cholesterol_in_very_large_HDL__locus054	Cholesterol_in_very_large_HDL	locus054	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus055	Cholesterol_in_very_large_HDL	locus055	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus055	Cholesterol_in_very_large_HDL	locus055	main	success	none
Cholesterol_in_very_large_HDL__locus055	Cholesterol_in_very_large_HDL	locus055	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus056	Cholesterol_in_very_large_HDL	locus056	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus056	Cholesterol_in_very_large_HDL	locus056	main	success	none
Cholesterol_in_very_large_HDL__locus056	Cholesterol_in_very_large_HDL	locus056	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus057	Cholesterol_in_very_large_HDL	locus057	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus057	Cholesterol_in_very_large_HDL	locus057	main	success	none
Cholesterol_in_very_large_HDL__locus057	Cholesterol_in_very_large_HDL	locus057	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus058	Cholesterol_in_very_large_HDL	locus058	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus058	Cholesterol_in_very_large_HDL	locus058	main	success	none
Cholesterol_in_very_large_HDL__locus058	Cholesterol_in_very_large_HDL	locus058	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus059	Cholesterol_in_very_large_HDL	locus059	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus059	Cholesterol_in_very_large_HDL	locus059	main	success	none
Cholesterol_in_very_large_HDL__locus059	Cholesterol_in_very_large_HDL	locus059	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus060	Cholesterol_in_very_large_HDL	locus060	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus060	Cholesterol_in_very_large_HDL	locus060	main	success	none
Cholesterol_in_very_large_HDL__locus060	Cholesterol_in_very_large_HDL	locus060	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus061	Cholesterol_in_very_large_HDL	locus061	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus061	Cholesterol_in_very_large_HDL	locus061	main	success	none
Cholesterol_in_very_large_HDL__locus061	Cholesterol_in_very_large_HDL	locus061	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus062	Cholesterol_in_very_large_HDL	locus062	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus062	Cholesterol_in_very_large_HDL	locus062	main	success	none
Cholesterol_in_very_large_HDL__locus062	Cholesterol_in_very_large_HDL	locus062	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus063	Cholesterol_in_very_large_HDL	locus063	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus063	Cholesterol_in_very_large_HDL	locus063	main	success	none
Cholesterol_in_very_large_HDL__locus063	Cholesterol_in_very_large_HDL	locus063	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus064	Cholesterol_in_very_large_HDL	locus064	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus064	Cholesterol_in_very_large_HDL	locus064	main	success	none
Cholesterol_in_very_large_HDL__locus064	Cholesterol_in_very_large_HDL	locus064	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus065	Cholesterol_in_very_large_HDL	locus065	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus065	Cholesterol_in_very_large_HDL	locus065	main	success	none
Cholesterol_in_very_large_HDL__locus065	Cholesterol_in_very_large_HDL	locus065	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus066	Cholesterol_in_very_large_HDL	locus066	classification	prior_sensitive_coloc	none
Cholesterol_in_very_large_HDL__locus066	Cholesterol_in_very_large_HDL	locus066	main	success	none
Cholesterol_in_very_large_HDL__locus066	Cholesterol_in_very_large_HDL	locus066	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus067	Cholesterol_in_very_large_HDL	locus067	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus067	Cholesterol_in_very_large_HDL	locus067	main	success	none
Cholesterol_in_very_large_HDL__locus067	Cholesterol_in_very_large_HDL	locus067	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus068	Cholesterol_in_very_large_HDL	locus068	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus068	Cholesterol_in_very_large_HDL	locus068	main	success	none
Cholesterol_in_very_large_HDL__locus068	Cholesterol_in_very_large_HDL	locus068	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus069	Cholesterol_in_very_large_HDL	locus069	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus069	Cholesterol_in_very_large_HDL	locus069	main	success	none
Cholesterol_in_very_large_HDL__locus069	Cholesterol_in_very_large_HDL	locus069	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus070	Cholesterol_in_very_large_HDL	locus070	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus070	Cholesterol_in_very_large_HDL	locus070	main	success	none
Cholesterol_in_very_large_HDL__locus070	Cholesterol_in_very_large_HDL	locus070	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus071	Cholesterol_in_very_large_HDL	locus071	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus071	Cholesterol_in_very_large_HDL	locus071	main	success	none
Cholesterol_in_very_large_HDL__locus071	Cholesterol_in_very_large_HDL	locus071	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus072	Cholesterol_in_very_large_HDL	locus072	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus072	Cholesterol_in_very_large_HDL	locus072	main	success	none
Cholesterol_in_very_large_HDL__locus072	Cholesterol_in_very_large_HDL	locus072	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus073	Cholesterol_in_very_large_HDL	locus073	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus073	Cholesterol_in_very_large_HDL	locus073	main	success	none
Cholesterol_in_very_large_HDL__locus073	Cholesterol_in_very_large_HDL	locus073	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus074	Cholesterol_in_very_large_HDL	locus074	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus074	Cholesterol_in_very_large_HDL	locus074	main	success	none
