locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus094	Cholesterol_in_very_large_HDL	locus094	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus095	Cholesterol_in_very_large_HDL	locus095	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus096	Cholesterol_in_very_large_HDL	locus096	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus097	Cholesterol_in_very_large_HDL	locus097	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus098	Cholesterol_in_very_large_HDL	locus098	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus099	Cholesterol_in_very_large_HDL	locus099	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus100	Cholesterol_in_very_large_HDL	locus100	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus101	Cholesterol_in_very_large_HDL	locus101	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus102	Cholesterol_in_very_large_HDL	locus102	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus103	Cholesterol_in_very_large_HDL	locus103	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus104	Cholesterol_in_very_large_HDL	locus104	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus105	Cholesterol_in_very_large_HDL	locus105	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
