trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	147	-0.0977827921196435	0.0233344026057618	2.78341571360097e-05	0.0001050106837404	0.00693070512686642	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_very_small_VLDL	147	-0.128736107127651	0.0326499454640265	8.04956752307858e-05	0.000270857069357644	0.0200434231324657	bonferroni_hit
Cholesteryl_esters_in_chylomicrons_and_extremely_large_VLDL	147	0.105045350582106	0.0257896099440038	4.63784348028324e-05	0.000164974718084361	0.0115482302659053	bonferroni_hit
Cholesteryl_esters_in_large_HDL	147	-0.101608304734446	0.0274064941124862	0.0002093537755108	0.000579212112246547	0.0521290901021892	fdr_only
Cholesteryl_esters_in_large_LDL	147	-0.0175058269913579	0.0198974176961669	0.378965516105489	0.43889494655938	1	null
Cholesteryl_esters_in_large_VLDL	147	0.0690777411517473	0.0150182113054348	4.23306144237817e-06	2.7712630648488e-05	0.00105403229915216	bonferroni_hit
Cholesteryl_esters_in_LDL	147	-0.001322792511296	0.0167334061936791	0.93699205694682	0.944579037165013	1	null
Cholesteryl_esters_in_medium_HDL	147	-0.0559265642210176	0.0190324325842797	0.0032981801485135	0.00622156709833228	0.821246856979862	fdr_only
Cholesteryl_esters_in_medium_LDL	147	0.0264694314578039	0.0127270134039144	0.0375454025703261	0.05843003275007	1	nominal
Cholesteryl_esters_in_medium_VLDL	147	-0.035562242326538	0.0191207419132107	0.062902824852243	0.0926793099893994	1	null
Cholesteryl_esters_in_small_HDL	147	0.0148969275986103	0.0150294761934609	0.321597324852341	0.383147052096808	1	null
Cholesteryl_esters_in_small_LDL	147	0.0240100388034315	0.0121351168377116	0.0478657338099267	0.0722337437495258	1	nominal
Cholesteryl_esters_in_small_VLDL	147	0.0464133471946293	0.011986755197417	0.0001079226328729	0.000358303141138028	0.0268727355853521	bonferroni_hit
Cholesteryl_esters_in_very_large_HDL	147	-0.104747287810478	0.031574443335537	0.000908364715665	0.00209428531667208	0.226182814200585	fdr_only
Cholesteryl_esters_in_very_large_VLDL	147	0.0753014356349757	0.0167553068451942	6.98371516992097e-06	3.69988314321345e-05	0.00173894507731032	bonferroni_hit
Cholesteryl_esters_in_very_small_VLDL	147	-0.0321616746056208	0.0246043284134648	0.191160024041396	0.246626145006775	1	null
Cholesteryl_esters_in_VLDL	147	0.0308552281606134	0.0123529839694648	0.0124968251050972	0.0211680915045524	1	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	147	-0.027957703683098	0.0105327903626924	0.0079461547548489	0.0143376270576621	1	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_large_HDL	147	-0.112096138251537	0.0215031396311025	1.85798251794327e-07	5.14041829964305e-06	4.62637646967874e-05	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_large_LDL	147	-0.0067403062126492	0.0124522676270866	0.588306700958034	0.634148781552167	1	null
Cholesteryl_esters_to_total_lipids_ratio_in_large_VLDL	147	-0.0802661009778798	0.0226345472089545	0.0003908642165809	0.00100335247349118	0.0973251899286441	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_medium_HDL	147	-0.103857102262734	0.0203370951293441	3.27692201948435e-07	6.97756441100058e-06	8.15953582851603e-05	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_medium_LDL	147	0.054628337727317	0.0142229074483349	0.0001225990596492	0.000396456699385075	0.0305271658526508	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	147	-0.109458823143107	0.0273905000258562	6.43583625424166e-05	0.000222572670459191	0.0160252322730617	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_small_HDL	147	-0.0661231516145677	0.0143922049098037	4.34053251120897e-06	2.7712630648488e-05	0.00108079259529103	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_small_LDL	147	0.063272599866893	0.0249110621015864	0.0110871528220802	0.0195794400900565	1	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_small_VLDL	147	-0.0551804432795147	0.0165104511019616	0.0008313141299777	0.00195280394683441	0.206997218364447	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_HDL	147	-0.0503592148223031	0.0139639773669533	0.0003105149521899	0.000831378742960055	0.0773182230952851	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_VLDL	147	-0.099614208762769	0.0227807498212814	1.22698968077995e-05	5.76453642479637e-05	0.00305520430514208	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	147	-0.128810200250625	0.0313213608284314	3.91337706868456e-05	0.000141221868130791	0.00974430890102455	bonferroni_hit
Cholines	147	-0.0074554893388741	0.0179325410062068	0.677591504376567	0.722236854529961	1	null
Citrate	147	-0.0509623877667359	0.0146423841936334	0.000500533746106	0.00127176431408565	0.124632902780394	fdr_only
Clinical_LDL_C	147	-0.0231839769026845	0.0196910352884096	0.239040915408567	0.300490792003549	1	null
Concentration_of_chylomicrons_and_extremely_large_VLDL_particles	147	0.104362377513324	0.0241647824316159	1.56894126980726e-05	6.73562717555186e-05	0.00390666376182008	bonferroni_hit
