trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL	198	0.0670454844910197	0.0185832516682591	0.0003087512962764	0.000605347029707273	0.0768790727728236	fdr_only
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	198	-0.0773483495621027	0.0196438876486845	8.23254692642466e-05	0.000189805943025902	0.0204990418467974	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	198	-0.0844584041058897	0.028293283839243	0.0028348161814007	0.00493614845572569	0.705869229168774	fdr_only
Gln	198	-0.0051632398653384	0.0131152170377485	0.693814988302089	0.716846191233279	1	null
Glucose	198	0.0196409762595582	0.0093067956438707	0.0348247049717913	0.0501234192946592	1	nominal
Gly	198	7.95065829748924e-05	0.0125346897847833	0.99493911291339	0.99493911291339	1	null
GlycA	198	0.108337074238701	0.0152320091086904	1.13991564000717e-12	4.05484277659693e-11	2.83838994361785e-10	bonferroni_hit
HDL_C	198	-0.0783271554359977	0.0215082160464084	0.0002708100747772	0.000535172290631133	0.0674317086195228	fdr_only
HDL_CE	198	-0.081845934774462	0.0209326030522217	9.2306036225687e-05	0.000208947300183601	0.0229842030201961	bonferroni_hit
HDL_FC	198	-0.0631760211270497	0.0229103403970765	0.0058239323307038	0.00979837263746788	1	fdr_only
HDL_L	198	-0.0519440058184818	0.0194080463506577	0.0074414216297554	0.012352759905394	1	fdr_only
HDL_P	198	-0.0296648913244657	0.0172338674192344	0.0851939228721725	0.112836631889207	1	null
HDL_PL	198	-0.0407782094430233	0.0185792493086046	0.0281761202978475	0.0415139287228641	1	fdr_only
HDL_size	198	-0.0883305163473682	0.0217206473034409	4.76914740473115e-05	0.000114184394594044	0.0118751770377806	bonferroni_hit
HDL_TG	198	0.101129554655413	0.0170297575166943	2.87812729607017e-09	2.17167786885295e-08	7.16653696721472e-07	bonferroni_hit
His	198	0.0054173757162974	0.0094270273677263	0.565518382480903	0.609584749946947	1	null
IDL_CE	198	-0.0389796465204427	0.0212626644264863	0.0667663313794656	0.0898638730458753	1	null
IDL_CE_pct	198	-0.082804533548337	0.0131883966806638	3.41657563800373e-10	5.00427843448782e-09	8.50727333862929e-08	bonferroni_hit
Isoleucine	198	0.0191799495796077	0.0096254520802418	0.046302148385626	0.0651369206102874	1	nominal
Lactate	198	0.0209910416939609	0.0099434235246304	0.0347682092281022	0.0501234192946592	1	nominal
LDL_cholesterol	198	-0.0014036152505642	0.0159626362932901	0.929931284629566	0.937461092602275	1	null
Leucine	198	0.0170446485418417	0.0099690960364902	0.0873123612839435	0.115030571215354	1	null
Linoleic_acid	198	0.0385849875802532	0.0230751161288935	0.094495326873266	0.123838612586543	1	null
Monounsaturated_fatty_acids	198	0.120277848760923	0.0198700740001859	1.4198232915156e-09	1.41414399834954e-08	3.53535999587384e-07	bonferroni_hit
Omega3_fatty_acids	198	-0.0641988223974452	0.0770506205666089	0.404730147102825	0.458080939220925	1	null
Omega6_fatty_acids	198	0.0245484505656995	0.0124921887935286	0.0494021980591678	0.0683397073151821	1	nominal
Phenylalanine	198	0.0247256747698619	0.0112922020506926	0.0285515288881643	0.0418195923126642	1	fdr_only
Phosphatidylcholines	198	0.01140006128999	0.0138244810954974	0.409582528430663	0.461475337462602	1	null
Phosphoglycerides	198	0.0141936226269005	0.0166276719407329	0.393318596474556	0.447197856265591	1	null
Phospholipids_in_chylomicrons_and_extremely_large_VLDL	198	0.116329628496409	0.0218996088924777	1.08458336442822e-07	4.73791680250222e-07	2.70061257742627e-05	bonferroni_hit
Phospholipids_in_IDL	198	-0.0257065744350299	0.0213003301551098	0.22748501595168	0.272325812365232	1	null
Phospholipids_in_large_HDL	198	-0.0821717106767489	0.0229401890998966	0.0003409764493235	0.000648115541080546	0.0849031358815515	fdr_only
Phospholipids_in_large_LDL	198	-0.0117690830816074	0.0175705575238632	0.502973549721573	0.557351703167482	1	null
Phospholipids_in_large_VLDL	198	0.107580602533022	0.0180721443552481	2.63527235404038e-09	2.05057130048767e-08	6.56182816156055e-07	bonferroni_hit
