trait_id	trait_display	screen_level	n_iv	min_f	median_f	cumulative_r2_approx	maf_min	maf_q25	maf_median	maf_q75	maf_max	i2gx	nome_i2gx_ge_0_90	ld_panel_missing_n	ld_panel_eligible_n	ld_panel_missing_fraction	ld_panel_missingness_note
HDL_P	High-density lipoprotein particle concentration	null	336	29.923506736595	54.9888351040469	0.0666017434608144	0.00904465	0.162376	0.265433	0.38474775	0.49904	0.993257973225901	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_PL	Phospholipids in high-density lipoprotein	null	342	29.7336722202397	54.5751592382784	0.069225538070463	0.00904465	0.14576675	0.278465	0.38795575	0.499679	0.994051343712234	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_TG	Triglycerides in high-density lipoprotein	nominal	288	29.7752068050296	59.9600073500352	0.0819676451386652	0.00547602	0.09564545	0.226532	0.38387	0.496837	0.994940635507987	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
HDL_size	Mean high-density lipoprotein particle diameter	fdr_only	439	29.7347450059208	54.2188861284097	0.0783495479188313	0.00464248	0.12253	0.269819	0.3889385	0.496837	0.993820227478748	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
His	Histidine	null	117	30.0256287955167	46.7594984477766	0.0198778038860248	0.00840135	0.124956	0.272989	0.397012	0.499015	0.990600482602065	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
IDL_CE	Cholesteryl esters in intermediate-density lipoprotein	null	271	29.8967223192468	56.106039205548	0.0730295418480632	0.00666668	0.07969265	0.221774	0.363166	0.49844	0.994902373309398	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
IDL_CE_pct	Cholesteryl esters/total lipids ratio in intermediate-density lipoprotein	null	256	29.7410954794632	59.0347105908566	0.0730446362772925	0.00293284	0.085439625	0.2071495	0.35721575	0.49981	0.994920571760677	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Isoleucine	Isoleucine	null	89	29.8223206402306	43.7288473968848	0.0122250719257904	0.0110296	0.139079	0.27544	0.392307	0.499326	0.98871337877384	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
LDL_cholesterol	Low-density lipoprotein cholesterol	null	277	29.7731323109845	55.5068869319874	0.069219549952246	0.00498781	0.0841361	0.228216	0.364071	0.498534	0.994251411725714	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Lactate	Lactate	nominal	95	29.9965644646795	45.0774934101552	0.0111218740557703	0.0127585	0.180475	0.277884	0.4001565	0.488306	0.985962738758669	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
