trait	autosomal_biallelic	in_ld_panel	ld_panel_missing
Triglycerides_in_very_small_VLDL	79137	73705	5432
Triglycerides_to_total_lipids_ratio_in_IDL	75284	70583	4701
Triglycerides_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	13348	12124	1224
Triglycerides_to_total_lipids_ratio_in_large_HDL	81055	76578	4477
Triglycerides_to_total_lipids_ratio_in_large_LDL	58544	54820	3724
Triglycerides_to_total_lipids_ratio_in_large_VLDL	40984	38387	2597
Triglycerides_to_total_lipids_ratio_in_medium_HDL	77889	73360	4529
Triglycerides_to_total_lipids_ratio_in_medium_LDL	53652	49990	3662
Triglycerides_to_total_lipids_ratio_in_medium_VLDL	75289	71403	3886
Triglycerides_to_total_lipids_ratio_in_small_HDL	82386	77539	4847
Triglycerides_to_total_lipids_ratio_in_small_LDL	70760	66165	4595
Triglycerides_to_total_lipids_ratio_in_small_VLDL	69630	65845	3785
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	86426	81416	5010
Triglycerides_to_total_lipids_ratio_in_very_large_VLDL	50970	48541	2429
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	82695	77987	4708
Tyrosine	29059	27209	1850
VLDL_cholesterol	64992	60666	4326
Valine	21049	20279	770
bOHbutyrate	13651	13221	430
