locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	noUKBB	1e-04	2098	3.57533237921356e-08	8.38338609503125e-06	1.02337953935806e-05	0.00229983694586608	0.997681510119322
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	main	1e-06	1270	3.74855105957801e-12	6.0002558827266e-06	6.24726549381279e-07	0.999991469238122	1.90577569635156e-06
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	main	5e-06	1270	3.74852248420583e-12	6.00021014250796e-06	6.24721787062885e-07	0.99998384625848	9.52880584269143e-06
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	main	1e-05	1270	3.74848676560324e-12	6.0001529682153e-06	6.24715834266993e-07	0.999974317697359	1.90574300908317e-05
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	main	1e-04	1270	3.74784394713711e-12	5.99912401723621e-06	6.24608703336711e-07	0.999802834643725	0.000190541619805927
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	noUKBB	1e-06	1241	2.89131012227518e-12	4.61346551841453e-06	6.26706194717138e-07	0.999992121546727	2.63827866796623e-06
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	noUKBB	5e-06	1241	2.89127961026991e-12	4.61341683249767e-06	6.26699581084594e-07	0.999981568626564	1.31912541310136e-05
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	noUKBB	1e-05	1241	2.89124147116891e-12	4.61335597654658e-06	6.26691314240206e-07	0.999968377789569	2.63821602482468e-05
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	noUKBB	1e-04	1241	2.89055513936887e-12	4.61226084390438e-06	6.26542548326996e-07	0.99973100221802	0.000263758975698396
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	main	1e-06	2865	9.84468852948687e-11	0.00193578755211594	5.0722453083138e-08	0.997362201343367	0.000701960283616754
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	main	5e-06	2865	9.81712360600378e-11	0.00193036738716163	5.05804312676255e-08	0.99456960788725	0.00349997404698507
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	main	1e-05	2865	9.78288376671559e-11	0.00192363471558122	5.04040185109732e-08	0.991100780876236	0.00697553390633412
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	main	1e-04	2865	9.20499591660039e-11	0.00181000307518737	4.74265866423074e-08	0.932555150245652	0.0656347991605241
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	noUKBB	1e-06	2781	1.41190760891182e-08	0.267198075780182	3.46069161079932e-08	0.654135895641819	0.0786659798520065
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	noUKBB	5e-06	2781	1.07396847823099e-08	0.2032443971692	2.6323774157867e-08	0.497568911708147	0.299186654059193
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	noUKBB	1e-05	2781	8.26646790802131e-09	0.156439720600717	2.02617338129366e-08	0.382984931498132	0.460575319372949
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	noUKBB	1e-04	2781	1.60664375652029e-09	0.0304051141517202	3.9380045370094e-09	0.0744357028756807	0.895159177427949
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	main	1e-06	3294	4.01296227506893e-98	0.41482162344424	5.65358940025718e-98	0.584406228249752	0.000772148306003925
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	main	5e-06	3294	4.00060603039151e-98	0.41354435315725	5.63618152817994e-98	0.582606792857069	0.00384885398567919
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	main	1e-05	3294	3.98526731838919e-98	0.411958783949715	5.61457186089533e-98	0.580373021838793	0.0076681942115046
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	main	1e-04	3294	3.72798509486403e-98	0.385363410674192	5.25210444852189e-98	0.542905105735976	0.0717314835898307
